Tag,LegacyVersion,Description,ReplacementInGedcom7
CONC,5.5/5.5.1,Value concatenation across lines,Removed – UTF-8 text allows direct continuation
ADR2,5.5/5.5.1,Second address line,Use structured ADDR with ADR1/STAE/POST/CTRY
ADR3,5.5/5.5.1,Third address line,Use structured ADDR
AGE,5.5/5.5.1,Age at event,Represent as FACT with TYPE=Age and DATE context
ASSO,5.5/5.5.1,Associated person reference,Use explicit ROLE in events
ALIA,5.5/5.5.1,Alias individual link,Use alternate NAME structures
ANUL,5.5/5.5.1,Annulment event,Use EVEN with TYPE=Annulment
BAPM,5.5/5.5.1,Baptism event,Use EVEN with TYPE=Baptism
CONF,5.5/5.5.1,Confirmation event,Use EVEN with TYPE=Confirmation
CHR,5.5/5.5.1,Christening event,Use EVEN with TYPE=Christening
FONE,5.5/5.5.1,Phonetic name representation,Use NAME with TYPE=phonetic
ROMN,5.5/5.5.1,Romanized name representation,Use NAME with TYPE=romanized
RELA,5.5/5.5.1,Relationship description,Use ROLE enumeration and PHRASE
AUTH,5.5/5.5.1,Author of source,Use SOUR.TITL or AGNC
IDNO,5.5/5.5.1,Identification number,Use EXID
NOTE_RECORD,5.5/5.5.1,Standalone note record,Replaced by SNOTE in GEDCOM 7
